Entity,Day,COVID-19 doses (daily)
Africa,2021-05-25,854525.8
Africa,2021-05-26,624137
Africa,2021-05-27,644840.7
Africa,2021-05-28,604702.7
Africa,2021-05-29,523919.66
Africa,2021-05-30,498994.34
Africa,2021-05-31,551753.2
Africa,2021-06-01,617778.25
Africa,2021-06-02,625441.25
Africa,2021-06-03,702204.3
Africa,2021-06-04,441368.88
Africa,2021-06-05,362062.78
Africa,2021-06-06,469932.38
Africa,2021-06-07,541922.4
Africa,2021-06-08,828274.4
Africa,2021-06-09,714788.75
Africa,2021-06-10,641174.1
Africa,2021-06-11,598310.3
Africa,2021-06-12,357926.84
Africa,2021-06-13,492600.12
Africa,2021-06-14,552428.1
Africa,2021-06-15,606088.3
Africa,2021-06-16,473541.12
Africa,2021-06-17,612001.4
Africa,2021-06-18,556965.56
Africa,2021-06-19,368187.88
Africa,2021-06-20,601695.06
Africa,2021-06-21,614387.8
Africa,2021-06-22,551744.5
Africa,2021-06-23,530570
Africa,2021-06-24,566475.4
Africa,2021-06-25,582955
Africa,2021-06-26,366835.16
Africa,2021-06-27,479108.94
Africa,2021-06-28,401241.94
Africa,2021-06-29,560539.2
Africa,2021-06-30,612625.94
Africa,2021-07-01,553028.1
Africa,2021-07-02,437728.1
Africa,2021-07-03,375030.94
Africa,2021-07-04,410877.78
Africa,2021-07-05,490615.28
Africa,2021-07-06,462431.28
Africa,2021-07-07,557714.56
Africa,2021-07-08,537233.1
Africa,2021-07-09,560891.25
Africa,2021-07-10,364390.4
Africa,2021-07-11,408339.1
Africa,2021-07-12,718812
Africa,2021-07-13,722490.94
Africa,2021-07-14,778767.2
Africa,2021-07-15,1066775.5
Africa,2021-07-16,316408.44
Africa,2021-07-17,313128.12
Africa,2021-07-18,261409.2
Africa,2021-07-19,743016.6
Africa,2021-07-20,564460.06
Africa,2021-07-21,680304.25
Africa,2021-07-22,713790.56
Africa,2021-07-23,542756.1
Africa,2021-07-24,294622.53
Africa,2021-07-25,322723.2
Africa,2021-07-26,903333.94
Africa,2021-07-27,1076963.4
Africa,2021-07-28,1152583.6
Africa,2021-07-29,1147329.4
Africa,2021-07-30,665771.94
Africa,2021-07-31,502558.84
Africa,2021-08-01,424122.84
Africa,2021-08-02,728698.1
Africa,2021-08-03,1794088.9
Africa,2021-08-04,846319
Africa,2021-08-05,817351.9
Africa,2021-08-06,882037.5
