COVID-19 doses (daily),Daily new confirmed deaths due to COVID-19
7.958576903813898,12.751323927603968
8.298041661371565,13.408102012604717
8.834773814213882,11.498568190791271
5.950642552587727,0.0
9.153558357877198,0.0
10.507475596776255,10.112304242744727
9.60245002503719,10.112304242744727
8.106816038947052,10.112304242744727
0.0,12.268840756666398
0.0,12.180648524202512
0.0,12.316393060525954
0.0,12.478911398962438
0.0,12.137163627670265
0.0,12.294483076720242
0.0,12.027679980523093
0.0,12.574221239679792
0.0,12.376470943611412
0.0,12.478911398962438
0.0,12.486775041612278
0.0,12.340859012844435
0.0,12.430384554049214
0.0,12.349881605064265
0.0,12.537676407480182
0.0,12.370622975336508
0.0,12.449536846806396
0.0,12.852286932375659
0.0,12.489382548965418
0.0,12.358823517511986
0.0,12.559763150457835
0.0,12.792567865765387
0.0,12.968458114126632
0.0,12.843187768848816
0.0,12.811616055488217
0.0,12.59786284347651
0.0,12.623238960054849
0.0,12.835848277108928
0.0,13.120763418151865
0.0,13.109621300853014
0.0,13.079768395403585
0.0,13.04152847936418
0.0,12.771187173361415
0.0,12.965227111814704
0.0,13.065233250223132
0.0,13.257751245710987
0.0,13.54271171211325
0.0,13.05640971142146
0.0,13.356568404397825
6.2166061010848646,13.092671710336644
6.2166061010848646,12.953835607400137
6.2166061010848646,13.115207837482158
6.2166061010848646,13.509467686282486
6.90875477931522,13.565164397903217
6.90875477931522,13.499085412873072
8.006700845440367,13.36419787950777
7.190173572022703,13.066696321525292
7.190173572022703,12.937333676897222
7.190173572022703,13.145388454087728
7.690743163541872,13.6254754480636
7.530748199618875,13.387804135378095
7.530748199618875,13.452475071451204
7.288927694521257,13.432394156668662
6.645090969505644,13.21329953236686
6.895851408211813,13.003326881494772
8.030324299790905,12.973285150905884
8.047105718655732,13.458421585470404
8.143731855338586,13.576643487468703
10.76493638537688,13.327709652561026
10.751194043708113,13.283974274765677
10.694208145311247,12.918861263925388
11.316675699447151,12.792567865765387
11.08684493683935,12.790642949038617
10.982005546377218,13.297993261480125
10.839300617525758,13.120763418151865
11.069333274676374,12.839524756481135
11.05708832745327,12.894846451814766
10.845784667772126,12.83215823134425
10.845784667772126,12.416476145938223
11.221601769852148,12.625514291862293
11.860333261233013,13.115207837482158
11.694633291803807,12.845014242470437
12.490619357873443,12.813500977062581
12.561937341306502,12.85047367970189
12.028003315193274,12.385179248226345
12.028003315193274,12.239184690627539
12.254654026001043,12.650206840314732
12.157250820859554,12.667789628918568
12.039582251963326,12.567018306958804
11.915995640849602,12.699946689698297
11.823246799427796,12.52519197327194
11.468705202873819,12.215495064785303
11.528285099520597,12.373551255454354
11.830475733543903,12.232473310762874
12.71428174919101,12.708350016871503
12.656652282038618,12.422062671282587
12.533926781342702,12.343875583351789
